airlie_id,flight_number,departure_date,arrival_date,departure_time,arrival_time,booking_cd,passngr_name,seat_number,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_entertainment,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,number_of_stops,reward_program_member,airline_name
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,BQLF,Name_BANUL,SeatTWV,Economy,436.12,Meal,3649,Cancelled,GateZN,A,ClaimJLO,8.06,1,LOCWFQ,TypeRUH,Pilot_EYZH,Crew_DGAL,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,Alaska Airlines
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,BZIL,Name_KANHR,SeatIGS,Economy,965.8,No Extras,2598,Pending,GateMH,D,ClaimCLJ,6.68,1,LOCGGR,TypeSRC,Pilot_OKTY,Crew_VNDX,No,Vegetarian,Not Available,False,False,False,2,No,JetBlue Airways
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,BQPB,Name_ECVFX,SeatJUH,Economy,329.94,Meal,0,Pending,GateUU,C,ClaimMPS,9.48,1,LOCLXB,TypeLSA,Pilot_UQZR,Crew_PKJB,No,Vegan,Available,False,False,True,0,No,Air Canada
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,BRPJ,Name_UEUYB,SeatUUC,Economy,165.07,Meal,0,Confirmed,GateHX,A,ClaimUTO,1.98,0,LOCOGA,TypePNZ,Pilot_OLHE,Crew_AHUN,No,Vegetarian,Not Available,False,True,False,0,Yes,American Airline
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,BSDG,Name_CDWZA,SeatLTY,Business,491.32,Meal,0,Cancelled,GateXU,B,ClaimIKY,8.45,0,LOCWVX,TypeDLG,Pilot_DJHP,Crew_DZUM,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,Frontier Airlines
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,BPSW,Name_PSZWH,SeatYPS,First,533.31,Meal,0,Confirmed,GateEP,B,ClaimHCR,6.4,2,LOCBXP,TypeENY,Pilot_MQAP,Crew_SIMT,Yes,Non-Vegetarian,Available,False,True,False,2,Yes,American Airline
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,BEEW,Name_BCNGM,SeatUHU,Business,438.34,Meal,0,Pending,GateSU,C,ClaimZGA,7.97,0,LOCEMT,TypeVRD,Pilot_PKTI,Crew_MXGP,No,Non-Vegetarian,Not Available,True,True,True,0,No,JetBlue Airways
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,BWGY,Name_GPCZE,SeatGLP,Economy,798.54,Extra Baggage,704,Cancelled,GateHM,D,ClaimEGR,10.95,1,LOCZZN,TypeWRC,Pilot_BYQB,Crew_TGMA,Yes,Vegan,Not Available,False,True,False,0,Yes,Alaska Airlines
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,BQAC,Name_WCXOT,SeatJCR,First,519.29,Meal,0,Cancelled,GateDT,D,ClaimRPX,8.9,1,LOCJIO,TypeWYU,Pilot_MIRC,Crew_FMOP,No,Vegetarian,Available,True,True,True,2,Yes,United Airlines
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,BPVB,Name_KWREV,SeatRKY,Economy,340.43,No Extras,0,Pending,GateOL,C,ClaimLPL,2.4,2,LOCWUW,TypeTSO,Pilot_OQNZ,Crew_PTQN,Yes,No Meal,Not Available,True,True,False,0,Yes,Air France
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,BYAU,Name_MANII,SeatAOM,First,512.05,No Extras,0,Cancelled,GateUZ,A,ClaimZQN,4.17,2,LOCXAY,TypePPK,Pilot_IFGC,Crew_ZTNM,No,No Meal,Not Available,False,False,True,0,No,JetBlue Airways
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,BGJC,Name_DUYZB,SeatAOR,Economy,904.61,Meal,2303,Pending,GateYD,B,ClaimBGD,10.88,1,LOCFQE,TypeVKK,Pilot_CMCG,Crew_IACU,Yes,Vegan,Not Available,True,False,False,0,Yes,Lufthansa
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,BRCG,Name_PETRB,SeatVFV,Business,868.56,Meal,0,Confirmed,GateQI,B,ClaimKEB,4.32,1,LOCFGU,TypeYHI,Pilot_MUAC,Crew_QYCQ,Yes,Vegetarian,Available,False,True,False,1,Yes,Emirates
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,BOAX,Name_NOYJP,SeatFOF,Economy,672.46,Meal,0,Pending,GateTO,A,ClaimQCC,4.38,2,LOCXPO,TypeVCK,Pilot_JVCD,Crew_FSCS,No,No Meal,Not Available,True,True,False,1,Yes,KLM Royal Dutch Airlines
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,BSEZ,Name_HZZXX,SeatXVY,First,668.34,No Extras,0,Pending,GateGI,A,ClaimYSE,8.38,0,LOCITG,TypeHVZ,Pilot_GLYB,Crew_XKNC,No,Non-Vegetarian,Available,True,False,True,0,No,Alaska Airlines
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,BUVG,Name_UNTJM,SeatNUN,First,622.34,Extra Baggage,681,Pending,GateMI,D,ClaimGOV,2.85,2,LOCLWB,TypeTFN,Pilot_ZEBD,Crew_DMDF,No,Vegetarian,Available,True,False,False,0,No,Lufthansa
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,BKAV,Name_SBZEN,SeatTQK,First,267.69,Extra Baggage,0,Pending,GateEL,A,ClaimLMN,7.64,1,LOCIFM,TypeOOS,Pilot_OVSG,Crew_OYGQ,No,Vegan,Available,False,False,True,1,Yes,Frontier Airlines
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,BBNJ,Name_XUWUZ,SeatRKT,Economy,634.86,Meal,0,Confirmed,GateZI,B,ClaimCZK,7.91,0,LOCCRQ,TypeGMY,Pilot_FFFC,Crew_RLXJ,Yes,No Meal,Not Available,True,False,False,1,Yes,Spirit Airlines
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,BCNE,Name_YXHAE,SeatITH,Economy,620.32,Extra Baggage,870,Pending,GateOK,A,ClaimMTS,9.03,1,LOCYCF,TypeCAQ,Pilot_EYYM,Crew_GNTC,No,Non-Vegetarian,Not Available,False,False,True,0,No,Frontier Airlines
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,BQGA,Name_YKHQY,SeatRQY,Business,590.39,No Extras,0,Cancelled,GatePE,B,ClaimNDN,9.29,2,LOCIZQ,TypeLSJ,Pilot_YZEJ,Crew_GKSL,No,Vegan,Available,True,True,True,2,No,British Airways
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,BXKF,Name_JNAEO,SeatZLV,Economy,814.97,Meal,163,Confirmed,GateCX,D,ClaimIRB,9.54,1,LOCVKG,TypeYYD,Pilot_HXQN,Crew_LVMR,No,Vegan,Available,True,True,False,2,Yes,Alaska Airlines
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,BPNQ,Name_JOAXK,SeatZES,Economy,93.18,No Extras,3523,Cancelled,GateAM,D,ClaimJIT,10.82,0,LOCKZX,TypeGDB,Pilot_ANOM,Crew_GGES,Yes,Vegan,Not Available,True,True,True,1,Yes,Emirates
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,BONG,Name_RFBBQ,SeatOYR,First,484.26,Meal,0,Pending,GateGI,C,ClaimMAU,1.08,1,LOCNOJ,TypeWPY,Pilot_PHSH,Crew_OXHC,Yes,Vegan,Not Available,True,True,False,1,No,Delta Air Lines
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,BJSG,Name_VETNL,SeatZXD,First,100.9,Meal,154,Cancelled,GateAB,A,ClaimHPX,8.54,2,LOCNQH,TypeQPH,Pilot_GELJ,Crew_KPGG,No,Vegan,Not Available,True,False,False,2,Yes,Frontier Airlines
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,BOXZ,Name_DIRJG,SeatNNM,Economy,806.0,Meal,0,Cancelled,GateEG,B,ClaimUQV,7.6,2,LOCOPW,TypeLUH,Pilot_HFLU,Crew_RBLB,Yes,No Meal,Not Available,True,True,True,1,Yes,SkyWest Airlines
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,BNOS,Name_EOZMN,SeatWHM,First,271.37,No Extras,0,Cancelled,GateTX,D,ClaimYCE,1.41,1,LOCDIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,Yes,Vegetarian,Not Available,False,False,True,1,Yes,American Airline
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,BUZP,Name_YDFOM,SeatAZQ,Economy,397.31,Extra Baggage,4066,Cancelled,GateDJ,B,ClaimNDD,6.16,2,LOCSOU,TypeRXY,Pilot_NCHV,Crew_GAUY,Yes,Non-Vegetarian,Available,False,False,False,2,No,Alaska Airlines
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,BBBA,Name_MRQAD,SeatIIZ,Economy,361.56,No Extras,0,Pending,GateHU,A,ClaimSAS,11.6,1,LOCJLQ,TypeYHU,Pilot_MPUM,Crew_YVBS,Yes,No Meal,Available,True,True,True,2,No,KLM Royal Dutch Airlines
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,BPSD,Name_KYSMP,SeatQUK,Economy,940.22,No Extras,0,Confirmed,GateNX,B,ClaimEXU,6.08,2,LOCANZ,TypeADI,Pilot_MRAV,Crew_HNWR,Yes,Vegan,Available,False,False,True,2,No,Air Canada
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,BCKX,Name_SOLWH,SeatNPD,Economy,372.06,Extra Baggage,0,Confirmed,GateED,C,ClaimWJA,5.29,0,LOCNVO,TypeWEL,Pilot_SBGH,Crew_XNVL,No,Vegetarian,Not Available,True,True,False,2,No,SkyWest Airlines
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,BQEW,Name_VAVHE,SeatNJM,Economy,99.17,Extra Baggage,0,Pending,GateUY,B,ClaimYRJ,3.44,0,LOCLMV,TypeTCI,Pilot_JTIX,Crew_IDGJ,Yes,Non-Vegetarian,Not Available,True,False,True,1,Yes,Allegiant Air
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,BIAY,Name_XALDO,SeatKDB,Economy,85.7,Extra Baggage,1568,Cancelled,GateOL,A,ClaimJNK,10.92,2,LOCDCI,TypeWXA,Pilot_IDMC,Crew_SINV,Yes,Non-Vegetarian,Available,True,True,False,1,Yes,United Airlines
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,BIDP,Name_IJUMJ,SeatEPB,First,255.52,Extra Baggage,1419,Pending,GateXB,B,ClaimSRM,1.38,1,LOCFFK,TypeKGR,Pilot_FSZI,Crew_QSFC,No,Non-Vegetarian,Not Available,True,True,False,1,Yes,British Airways
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,BOJE,Name_JNSSY,SeatCHY,Business,135.1,Extra Baggage,0,Confirmed,GateWV,A,ClaimTJY,8.82,2,LOCRAJ,TypeQXS,Pilot_NPWM,Crew_DINU,Yes,Vegan,Available,False,False,True,2,No,United Airlines
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,BPFP,Name_AVVZX,SeatYWD,Business,804.19,Extra Baggage,0,Cancelled,GateVI,B,ClaimHBK,3.74,1,LOCCYV,TypeSAE,Pilot_VQAP,Crew_CNBU,Yes,No Meal,Not Available,False,False,False,0,No,Air France
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,BDVU,Name_HQWJA,SeatYQR,First,690.75,Extra Baggage,0,Pending,GateIQ,A,ClaimKAM,9.27,2,LOCTTN,TypeJKC,Pilot_NLSM,Crew_ZHDD,No,Non-Vegetarian,Available,True,True,False,2,Yes,KLM Royal Dutch Airlines
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,BOCS,Name_HEBSY,SeatZNE,Business,786.92,Meal,0,Confirmed,GatePR,D,ClaimQRW,10.05,0,LOCFIA,TypeGCN,Pilot_EJSK,Crew_GELR,No,No Meal,Available,True,False,True,0,Yes,British Airways
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,BIEP,Name_BTWXK,SeatUEX,Business,555.84,Meal,0,Pending,GateSX,C,ClaimLRL,7.43,1,LOCTRU,TypeFJJ,Pilot_VWJO,Crew_ASMV,Yes,No Meal,Available,True,True,True,2,No,Qantas
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,BCHX,Name_CZZIH,SeatJBZ,Economy,499.88,Meal,0,Confirmed,GateBA,D,ClaimMUS,1.11,0,LOCTWC,TypePKN,Pilot_QVLY,Crew_FWUL,Yes,Vegan,Available,True,True,False,1,No,United Airlines
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,BNCP,Name_FNHOZ,SeatIPU,First,393.88,No Extras,0,Pending,GateUX,A,ClaimMCL,5.68,1,LOCDSP,TypeNTX,Pilot_DQMD,Crew_VYIJ,Yes,No Meal,Available,False,False,False,2,No,SkyWest Airlines
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,BGIC,Name_XCWHV,SeatGYU,Business,822.8,No Extras,0,Pending,GateLY,D,ClaimCNP,4.28,0,LOCDPO,TypeAUJ,Pilot_TZDM,Crew_VJZF,No,Vegan,Not Available,False,False,False,2,Yes,Singapore Airlines
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,BHLQ,Name_PFGMT,SeatDYH,First,51.68,No Extras,0,Confirmed,GateYB,D,ClaimYVG,8.29,2,LOCQUG,TypeFHD,Pilot_GLCT,Crew_KFQT,No,Vegetarian,Available,True,True,False,2,Yes,SkyWest Airlines
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,BNPS,Name_ZZISG,SeatCDY,Economy,539.74,No Extras,0,Cancelled,GateNS,D,ClaimKSH,10.52,1,LOCYEQ,TypeFCM,Pilot_YGOJ,Crew_ZYCG,No,Non-Vegetarian,Available,True,False,True,0,No,KLM Royal Dutch Airlines
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,BDCM,Name_PYXGO,SeatQPW,Business,405.04,No Extras,4757,Pending,GateCB,D,ClaimONU,11.02,2,LOCKWH,TypeDCL,Pilot_DYKZ,Crew_KVWV,No,Vegan,Available,False,True,True,1,No,United Airlines
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,BIML,Name_EBBTE,SeatOZO,Business,196.39,Meal,0,Pending,GateBK,D,ClaimNZH,3.64,2,LOCBJM,TypeKYN,Pilot_WKWH,Crew_PVJW,No,Vegan,Not Available,True,True,False,1,No,Alaska Airlines
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,BZUO,Name_LDRTK,SeatSZW,Business,726.21,Meal,4586,Pending,GateZB,A,ClaimZWU,5.84,1,LOCKUT,TypeTXB,Pilot_PFYD,Crew_OHRP,No,Non-Vegetarian,Available,True,True,False,2,Yes,Lufthansa
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,BCCB,Name_UTFMZ,SeatYJK,Economy,304.76,Extra Baggage,650,Cancelled,GateQL,A,ClaimWVK,10.68,2,LOCXIS,TypeIGG,Pilot_ZOLN,Crew_LTNT,No,Non-Vegetarian,Not Available,True,False,True,1,Yes,Emirates
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,BZFY,Name_WEYDJ,SeatMLA,First,446.81,Meal,4560,Pending,GateYL,A,ClaimHKE,6.18,0,LOCUTX,TypeJNZ,Pilot_NUHJ,Crew_QYOB,No,No Meal,Not Available,True,True,False,2,No,Qantas
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,BPWR,Name_BZHTT,SeatDSV,Business,325.33,No Extras,0,Confirmed,GateQU,D,ClaimOQN,2.56,2,LOCFGB,TypeTLC,Pilot_PWFY,Crew_ETPW,No,Non-Vegetarian,Not Available,True,False,False,0,No,Southwest Airlines
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,BICW,Name_CITBQ,SeatDEM,Business,629.09,No Extras,492,Pending,GateAH,A,ClaimZOI,6.25,0,LOCDBF,TypeVGU,Pilot_DXSW,Crew_ISXC,Yes,No Meal,Available,True,True,False,1,Yes,Air France
